ALV-7002/USB-25
Date :	"13/03/2025"
Time :	"09:18:10"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     632.80000
Angle [°]       :	      90.00000
Duration [s]    :	        30
FloatDur [ms]   :	        29989
Stop TP [ms]   :	    301205
Runs            :	        10
Mode            :	"A-CH0 "
MeanCR0 [kHz]   :	     104.93505
MeanCR1 [kHz]   :	       0.00000
MeanCR2 [kHz]   :	       0.00000
MeanCR3 [kHz]   :	       0.00000

"Correlation (Multi, Averaged)"
"Lag [ms]"	"Average"	" 1, 103.612"	" 2, 103.605"	" 3, 103.657"	" 4, 104.483"	" 5, 104.918"	" 6, 104.651"	" 7, 104.407"	" 8, 104.888"	" 9, 105.270"	"10, 104.935"	
  1.92000E-002	  7.65904E-002	  8.21084E-002	  7.30295E-002	  7.14858E-002	  7.85714E-002	  7.61761E-002	  7.82043E-002	  7.72360E-002	  8.26478E-002	  6.97456E-002	  7.66992E-002	
  2.08000E-002	  7.32581E-002	  7.76978E-002	  7.50817E-002	  7.14199E-002	  7.59235E-002	  6.71697E-002	  7.60787E-002	  7.26705E-002	  7.48739E-002	  7.15284E-002	  7.01364E-002	
  2.24000E-002	  7.30872E-002	  7.58069E-002	  7.09695E-002	  6.97285E-002	  7.64829E-002	  6.95439E-002	  6.79703E-002	  7.77866E-002	  8.38100E-002	  6.98538E-002	  6.89198E-002	
  2.40000E-002	  7.35890E-002	  7.47043E-002	  7.33362E-002	  7.60013E-002	  7.10840E-002	  7.93530E-002	  6.83566E-002	  7.58871E-002	  7.70614E-002	  6.80277E-002	  7.20786E-002	
  2.56000E-002	  7.43236E-002	  7.44495E-002	  7.77124E-002	  7.52650E-002	  7.15385E-002	  7.47092E-002	  7.08806E-002	  7.82886E-002	  7.34433E-002	  7.17480E-002	  7.52010E-002	
  2.88000E-002	  7.27738E-002	  7.49271E-002	  7.06053E-002	  7.18872E-002	  7.73707E-002	  7.20672E-002	  7.02736E-002	  7.85218E-002	  7.19282E-002	  6.89788E-002	  7.11782E-002	
  3.20000E-002	  7.04943E-002	  7.06106E-002	  7.05198E-002	  7.41915E-002	  6.83646E-002	  7.05853E-002	  6.81842E-002	  7.04879E-002	  7.18615E-002	  6.89123E-002	  7.12255E-002	
  3.52000E-002	  6.97618E-002	  7.35206E-002	  7.48379E-002	  6.77814E-002	  7.05343E-002	  6.37061E-002	  6.89577E-002	  6.99841E-002	  6.69415E-002	  7.03105E-002	  7.10439E-002	
  3.84000E-002	  6.90051E-002	  6.88967E-002	  7.31223E-002	  7.11146E-002	  6.96848E-002	  6.17484E-002	  6.55210E-002	  6.96935E-002	  6.70950E-002	  7.38499E-002	  6.93247E-002	
  4.16000E-002	  6.91750E-002	  7.07546E-002	  7.44947E-002	  7.14744E-002	  6.88352E-002	  6.79442E-002	  6.96038E-002	  7.00845E-002	  6.46500E-002	  6.77773E-002	  6.61315E-002	
